protein_id,ligand,best_affinity_mean,best_affinity_sd,best_affinity_kcal_mol,all_affinities_kcal_mol,t1_cu_x,t1_cu_y,t1_cu_z,reactive_atom_dist_to_T1,productive_pose,ranking_score,poses_pdbqt
A0AAD5NR99,NNBT,-3.928,0.014,-3.915,-3.915;-3.865;-3.857;-3.843;-3.841;-3.835;-3.787;-3.749;-3.732,6.96,13.25,17.64,6.85,True,-3.915,results/A0AAD5NR99_NNBT_poses.pdbqt
P36649,NNBT,-3.844,0.062,-3.915,-3.915;-3.788;-3.762;-3.752;-3.748;-3.727;-3.713;-3.677;-3.588,15.29,-2.54,-1.12,11.94,False,-3.915,results/P36649_NNBT_poses.pdbqt
A0A7T1FRB0,Guaiacol,-3.881,0.027,-3.884,-3.884;-3.882;-3.846;-3.779;-3.714;-3.684;-3.634;-3.631;-3.580,11.9,-5.18,-3.63,6.63,True,-3.884,results/A0A7T1FRB0_Guaiacol_poses.pdbqt
A0A1E3L223,Guaiacol,-3.921,0.002,-3.921,-3.921;-3.880;-3.758;-3.699;-3.691;-3.686;-3.507;-3.484;-3.389,9.79,10.99,-5.14,9.69,True,-3.88,results/A0A1E3L223_Guaiacol_poses.pdbqt
P12374,Guaiacol,-3.844,0.036,-3.865,-3.865;-3.680;-3.515;-3.487;-3.384;-3.266;-1.422,9.7,5.05,5.09,12.33,False,-3.865,results/P12374_Guaiacol_poses.pdbqt
A0A0V8HHP9,NNBT,-3.956,0.161,-3.86,-3.860;-3.696;-3.562;-3.400;-3.219;-3.187;-3.141;-3.084;-2.181,-1.32,11.72,-8.77,12.82,False,-3.86,results/A0A0V8HHP9_NNBT_poses.pdbqt
A0A037ZEI0,Guaiacol,-3.898,0.044,-3.848,-3.848;-3.685;-3.663;-3.470;-3.439;-3.421;-3.412;-3.299,13.26,7.81,-3.8,11.21,False,-3.848,results/A0A037ZEI0_Guaiacol_poses.pdbqt
A0AAV3NMY9,Guaiacol,-4.2,0.238,-4.474,-4.474;-4.167;-4.056;-3.845;-3.676;-3.652;-3.609;-3.594;-3.562,24.58,-2.83,18.06,10.64,True,-3.845,results/A0AAV3NMY9_Guaiacol_poses.pdbqt
P29162,Guaiacol,-3.841,0.001,-3.842,-3.842;-3.807;-3.530;-3.513;-3.466;-3.411;-3.384;-3.369;-3.351,5.49,15.24,-16.72,5.87,True,-3.842,results/P29162_Guaiacol_poses.pdbqt
Q8ZBK0,NNBT,-3.994,0.149,-3.825,-3.825;-3.813;-3.783;-3.766;-3.750;-3.694;-3.558;-3.485;-3.480,-9.13,5.92,-16.91,13.17,False,-3.825,results/Q8ZBK0_NNBT_poses.pdbqt
A0A6I6UTI7,NNBT,-3.619,0.173,-3.815,-3.815;-3.751;-3.727;-3.669;-3.609;-3.524;-3.487;-3.453;-3.238,-0.57,12.55,-7.66,13.9,False,-3.815,results/A0A6I6UTI7_NNBT_poses.pdbqt
A0A841U2P5,NNBT,-3.926,0.078,-3.855,-3.855;-3.802;-3.766;-3.740;-3.715;-3.705;-3.635;-3.600;-3.570,11.5,9.91,0.29,8.16,True,-3.802,results/A0A841U2P5_NNBT_poses.pdbqt
A0A1G9G9E4,Guaiacol,-3.841,0.121,-3.777,-3.777;-3.777;-3.656;-3.638;-3.519;-3.412;-3.336;-3.335;-3.239,6.44,0.22,14.03,12.0,False,-3.777,results/A0A1G9G9E4_Guaiacol_poses.pdbqt
P07788,Guaiacol,-3.776,0.006,-3.771,-3.771;-3.725;-3.568;-3.520;-3.504;-3.498;-3.496;-3.384;-3.361,9.65,-6.76,-6.49,6.75,True,-3.771,results/P07788_Guaiacol_poses.pdbqt
ItL01,Guaiacol,-3.901,0.008,-3.893,-3.893;-3.799;-3.766;-3.638;-3.451;-3.333;-3.324;-3.238;-3.137,6.06,7.21,-11.34,11.18,True,-3.766,results/ItL01_Guaiacol_poses.pdbqt
D4GPK6,Guaiacol,-3.823,0.02,-3.843,-3.843;-3.754;-3.724;-3.515;-3.465;-3.371;-3.274;-3.272;-3.134,14.39,-0.7,6.21,15.35,True,-3.754,results/D4GPK6_Guaiacol_poses.pdbqt
Q12737,Guaiacol,-3.986,0.003,-3.983,-3.983;-3.715;-3.706;-3.672;-3.657;-3.646;-3.636;-3.625;-3.574,10.86,5.01,0.86,9.99,True,-3.706,results/Q12737_Guaiacol_poses.pdbqt
A0A847HBI2,Guaiacol,-3.716,0.018,-3.698,-3.698;-3.617;-3.581;-3.561;-3.442;-3.428;-3.390;-3.376;-3.264,3.89,2.61,15.25,12.29,False,-3.698,results/A0A847HBI2_Guaiacol_poses.pdbqt
A0A1Q8CW41,Guaiacol,-4.008,0.614,-3.666,-3.666;-3.512;-3.507;-3.413;-3.344;-3.332;-3.297;-3.264;-3.237,9.12,11.65,-1.26,6.28,True,-3.666,results/A0A1Q8CW41_Guaiacol_poses.pdbqt
A0A4R3UXC8,NNBT,-3.728,0.071,-3.651,-3.651;-2.607;-2.300;-2.094;-1.949;-1.796;-1.628,5.71,11.25,3.76,11.95,False,-3.651,results/A0A4R3UXC8_NNBT_poses.pdbqt
ItL02,Guaiacol,-3.633,0.011,-3.639,-3.639;-3.433;-3.421;-3.390;-3.270;-2.926;-2.921;-2.893,-10.7,-10.19,-2.03,11.09,False,-3.639,results/ItL02_Guaiacol_poses.pdbqt
A0A1H1DUY6,Guaiacol,-3.604,0.009,-3.614,-3.614;-3.491;-3.489;-3.415;-3.411;-3.408;-3.406;-3.257;-3.186,5.37,13.72,-2.72,12.28,False,-3.614,results/A0A1H1DUY6_Guaiacol_poses.pdbqt
A0A5L4PUB3,Guaiacol,-3.68,0.095,-3.589,-3.589;-3.515;-3.401;-3.328;-3.312;-3.262;-3.257,11.97,6.0,-5.26,15.03,False,-3.589,results/A0A5L4PUB3_Guaiacol_poses.pdbqt
A0A1N7JFH4,Guaiacol,-3.543,0.002,-3.542,-3.542;-3.491;-3.425;-3.297;-3.176;-3.030;-3.019;-2.978;-1.672,8.6,12.11,-2.51,14.81,False,-3.542,results/A0A1N7JFH4_Guaiacol_poses.pdbqt
A0A3A1UWW5,Guaiacol,-3.533,0.009,-3.531,-3.531;-3.417;-3.372;-3.351;-3.311;-3.302;-3.281;-3.265;-3.207,3.42,13.96,-4.6,7.96,True,-3.531,results/A0A3A1UWW5_Guaiacol_poses.pdbqt
A0A402BC27,Guaiacol,-3.822,0.002,-3.821,-3.821;-3.713;-3.651;-3.640;-3.600;-3.511;-3.409;-3.392,4.14,13.14,-4.5,8.21,True,-3.511,results/A0A402BC27_Guaiacol_poses.pdbqt
A0A5N6LBS3,Guaiacol,-3.732,0.21,-3.49,-3.490;-3.489;-3.434;-3.416;-3.339;-3.328;-3.315;-3.291;-3.171,12.78,-8.56,51.8,8.87,False,-3.49,results/A0A5N6LBS3_Guaiacol_poses.pdbqt
R9LDG7,Guaiacol,-3.695,0.051,-3.674,-3.674;-3.494;-3.449;-3.338;-3.325;-3.287;-3.252;-3.190,5.82,13.69,-1.67,12.59,True,-3.449,results/R9LDG7_Guaiacol_poses.pdbqt
P12374,NNBT,-3.465,0.219,-3.428,-3.428;-3.376;-3.163;-0.835,9.7,5.05,5.09,13.56,False,-3.428,results/P12374_NNBT_poses.pdbqt
A0A6I6UTI7,Guaiacol,-3.294,0.109,-3.42,-3.420;-3.238;-3.237;-3.199;-3.185;-3.166;-3.114;-3.096;-3.064,-0.57,12.55,-7.66,16.04,False,-3.42,results/A0A6I6UTI7_Guaiacol_poses.pdbqt
Q3SJ90,Guaiacol,-3.464,0.051,-3.407,-3.407;-3.392;-2.963;-2.905;-2.822;-2.808;-2.283;-2.218,9.89,-1.44,-5.33,10.5,False,-3.407,results/Q3SJ90_Guaiacol_poses.pdbqt
A0AAD5NR99,Guaiacol,-4.247,0.029,-4.226,-4.226;-3.767;-3.635;-3.436;-3.395;-3.324;-3.246;-3.244;-3.235,6.96,13.25,17.64,9.35,True,-3.395,results/A0AAD5NR99_Guaiacol_poses.pdbqt
P36649,Guaiacol,-3.398,0.012,-3.388,-3.388;-3.361;-3.127;-3.028;-2.994;-2.960;-2.849;-2.848;-2.803,15.29,-2.54,-1.12,11.13,False,-3.388,results/P36649_Guaiacol_poses.pdbqt
Q8ZBK0,Guaiacol,-3.377,0.006,-3.379,-3.379;-3.218;-3.173;-3.151;-3.073;-2.958;-2.957;-2.916;-0.453,-9.13,5.92,-16.91,10.97,False,-3.379,results/Q8ZBK0_Guaiacol_poses.pdbqt
A0A0V8HHP9,Guaiacol,-3.489,0.167,-3.338,-3.338;-3.205;-3.171;-3.139;-3.041;-3.024;-2.983;-2.878;-2.847,-1.32,11.72,-8.77,13.18,False,-3.338,results/A0A0V8HHP9_Guaiacol_poses.pdbqt
A0A841U2P5,Guaiacol,-3.204,0.005,-3.206,-3.206;-3.181;-3.176;-2.992;-2.931;-2.927;-2.917;-2.873;-2.868,11.5,9.91,0.29,6.82,True,-3.206,results/A0A841U2P5_Guaiacol_poses.pdbqt
ItL03,NNBT,-3.118,0.069,-3.15,-3.150;-3.144;-2.908;-2.676;-2.606;-2.580;-2.574;-2.521;-2.501,-10.14,9.38,3.27,14.52,False,-3.15,results/ItL03_NNBT_poses.pdbqt
A0A5S5BXK6,Guaiacol,-3.108,0.063,-3.18,-3.180;-3.057;-3.029;-2.999;-2.992;-2.951;-2.949;-2.914,10.0,11.03,1.11,14.07,True,-3.029,results/A0A5S5BXK6_Guaiacol_poses.pdbqt
Q69HT9,Guaiacol,-3.081,0.005,-3.079,-3.079;-3.052;-2.994;-2.987;-2.981;-2.927;-2.879;-2.850;-2.833,-37.2,-21.02,2.55,8.22,True,-2.987,results/Q69HT9_Guaiacol_poses.pdbqt
Q47452,NNBT,-3.432,0.954,-2.361,-2.361;-1.788;-1.619;-0.460;-0.455,6.28,2.38,-7.02,13.65,False,-2.361,results/Q47452_NNBT_poses.pdbqt
Q3SJ90,NNBT,-1.779,0.149,-1.934,-1.934;-1.912;-1.447,9.89,-1.44,-5.33,12.26,False,-1.934,results/Q3SJ90_NNBT_poses.pdbqt
